"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"PERSON","9493","8098","122","4","2","0","9729","17882","6818","118","3","2627","509","11811","13810","1827","27448"
"PITT","48279","30340","777","23","7","0","41482","64371","40198","247","8","16084","3363","48830","61169","10909","120908"
"POLK","3603","6096","109","2","2","0","6491","14443","582","9","2","1267","286","7228","8554","521","16303"
"RANDOLPH","15033","49504","598","6","8","0","29611","77497","5959","310","6","10988","3786","42008","46870","5882","94760"
"RICHMOND","11935","7439","128","4","3","0","8714","16642","8770","408","0","2403","566","12372","14571","1280","28223"
"ROBESON","35123","13366","232","6","8","0","23050","20157","18759","24819","15","8035","2132","30820","38397","2568","71785"
"ROCKINGHAM","17577","24136","322","9","9","0","18801","42552","10946","100","0","7256","1198","27106","31794","1954","60854"
"ROWAN","22376","41274","616","15","13","0","31647","70048","15045","183","6","10659","2971","41417","47352","7172","95941"
"RUTHERFORD","9976","19780","255","5","5","0","15871","37308","3969","58","0","4557","872","19865","22811","3216","45892"
"SAMPSON","12740","15287","178","1","6","0","9456","21949","9952","532","0","5235","2757","16361","19367","1940","37668"
"SCOTLAND","9888","4525","73","4","0","0","6746","9528","7995","1674","9","2030","218","8702","11095","1439","21236"
"STANLY","8438","20794","207","16","9","0","14147","33725","4455","79","3","5349","662","18432","20904","4275","43611"
"STOKES","5264","16826","202","8","4","0","9739","27557","1174","51","0","3261","436","15259","16737","47","32043"
"SURRY","9285","22007","234","9","3","0","15529","40032","1676","45","2","5312","2022","20718","23300","3049","47067"
"SWAIN","2807","3050","66","1","1","0","3804","7408","92","1544","1","684","89","4403","4925","401","9729"
"TRANSYLVANIA","5690","8354","150","2","2","0","11666","23084","713","49","1","2017","242","11279","13074","1511","25864"
"TYRRELL","1043","446","7","0","0","0","801","1413","645","3","0","236","37","1009","1107","181","2297"
"UNION","39697","69398","1157","28","19","0","64282","123114","19606","510","10","31341","8622","75170","83501","15910","174581"
"VANCE","16066","4915","104","5","7","0","6752","11196","13823","54","1","2775","708","11431","14657","1761","27849"
"WAKE","285480","174919","6348","197","81","0","340386","495537","144799","2067","52","164956","34553","340057","390649","76705","807411"
"WARREN","7802","2242","41","0","1","0","2954","5352","6210","529","2","947","117","5589","6743","708","13040"
"WASHINGTON","4631","1373","24","0","0","0","1942","3646","3759","9","0","556","63","3362","4192","416","7970"
"WATAUGA","11291","12328","389","31","1","0","19703","38117","832","58","11","4725","1201","18810","21874","3059","43743"
"WAYNE","26815","25282","437","11","10","0","21206","40967","23128","127","5","9534","3000","30963","37265","5533","73761"
"WILKES","6886","23946","204","6","1","0","12663","38250","1577","47","0","3832","929","19331","21372","3003","43706"
"WILSON","24832","13815","239","6","6","0","15876","26847","21773","106","0","6048","1807","22940","28769","3065","54774"
"YADKIN","2992","14118","132","1","3","0","7476","21557","722","26","1","2416","964","11099","12112","1511","24722"
"YANCEY","3746","5356","80","1","3","0","4945","12900","72","25","1","1133","146","6364","6946","821","14131"
