"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"DURHAM","124065","23251","1191","66","87","0","83757","112420","72566","571","33","46827","11253","91847","116612","23958","232417"
"EDGECOMBE","20488","6564","102","3","11","0","6850","11950","19172","59","2","2835","594","13803","18140","2075","34018"
"FORSYTH","97349","70717","1699","65","118","0","92133","158201","64807","504","30","38539","13218","107503","132344","22234","262081"
"FRANKLIN","16734","15977","386","6","11","0","17925","32323","11860","139","3","6714","1797","21349","24541","5149","51039"
"GASTON","40438","59819","1173","21","84","0","52946","107421","27048","331","5","19676","5762","65618","77460","11403","154481"
"GATES","3468","2082","38","1","3","0","2613","5084","2456","16","0","649","54","3576","4083","546","8205"
"GRAHAM","1111","3026","31","0","1","0","1873","5482","10","259","1","290","36","2819","3015","208","6042"
"GRANVILLE","15953","10880","225","6","15","0","13071","22935","11398","79","3","5735","1148","16312","18943","4895","40150"
"GREENE","4862","2494","28","1","2","0","3462","5917","3755","12","0","1165","492","4674","5608","567","10849"
"GUILFORD","154953","88082","2203","73","83","0","127973","192090","123949","952","27","56349","13662","156413","195286","21668","373367"
"HALIFAX","20357","4834","97","3","21","0","10201","13584","18257","1026","5","2641","298","15141","18492","1880","35513"
"HARNETT","23970","30482","787","26","48","0","29584","52527","17347","472","16","14535","5232","35324","41475","8098","84897"
"HAYWOOD","12106","16000","310","11","10","0","17068","41980","466","114","1","2944","592","20482","23330","1693","45505"
"HENDERSON","17204","31896","620","16","32","0","38766","76931","2356","146","10","9091","2808","37939","45174","5421","88534"
"HERTFORD","8828","1545","36","0","2","0","3326","4447","8281","93","2","914","99","5681","7423","633","13737"
"HOKE","13726","7314","308","12","8","0","11727","13010","12499","1959","16","5611","2388","14332","17185","1578","33095"
"HYDE","1361","677","15","0","0","0","1098","2358","568","0","0","225","60","1400","1587","164","3151"
"IREDELL","27294","56415","888","24","37","0","51923","106327","14658","222","5","15369","4670","60200","66846","9535","136581"
"JACKSON","8465","8363","249","15","5","0","12405","24210","614","1518","6","3154","729","12850","14448","2204","29502"
"JOHNSTON","39869","56864","1214","48","145","0","55248","103205","25550","422","17","24194","8498","66394","76493","10501","153388"
"JONES","2519","2315","37","0","5","0","2274","4426","2059","12","1","652","102","3082","3541","527","7150"
"LEE","12468","11896","276","5","14","0","14387","25110","7266","142","6","6522","3327","16388","19575","3083","39046"
"LENOIR","16466","10357","150","10","21","0","10475","18687","14570","64","7","4151","822","15203","19079","3197","37479"
"LINCOLN","11769","31721","427","14","34","0","23095","56522","3592","87","2","6857","2084","29818","32372","4870","67060"
"MACON","4966","12297","187","2","1","0","10351","25474","195","62","1","2072","536","12850","14481","473","27804"
"MADISON","4980","4768","116","9","8","0","7019","15203","125","26","0","1546","188","7424","8028","1448","16900"
"MARTIN","7646","3458","51","1","2","0","4706","8505","6242","28","0","1089","184","6631","8427","806","15864"
"MCDOWELL","5631","12934","179","6","7","0","10864","26837","815","36","1","1932","598","13435","14885","1301","29621"
"MECKLENBURG","321317","154008","5920","203","292","0","294450","398720","236996","2036","60","138378","43871","325560","391712","58918","776190"
"MITCHELL","1044","6447","43","3","1","0","3576","9993","39","12","1","1069","141","4918","5420","776","11114"
"MONTGOMERY","5123","6246","86","2","6","0","5516","11885","2980","45","0","2069","781","7486","8418","1075","16979"
"MOORE","15038","30681","619","10","25","0","27835","59632","7394","343","6","6833","1725","32544","38270","3394","74208"
"NASH","28333","19288","308","7","36","0","19008","33805","25966","345","4","6860","1788","28213","34527","4240","66980"
"NEW HANOVER","50380","53337","1476","40","40","0","72948","136744","18955","378","15","22129","4006","73832","87045","17344","178221"
"NORTHAMPTON","7813","1570","41","3","7","0","3352","5073","6998","35","0","680","67","5554","6595","637","12786"
"ONSLOW","24249","47105","1796","25","90","0","50052","83996","18809","462","30","20020","7552","52668","60883","9766","123317"
"ORANGE","50329","13186","561","26","19","0","43690","74727","11439","232","1","21412","4191","44208","52535","11068","107811"
"PAMLICO","2832","4053","59","4","3","0","3196","7897","1442","26","0","782","112","4506","5072","569","10147"
"PASQUOTANK","10991","7545","216","7","9","0","10939","16720","9892","40","3","3052","422","12700","14966","2041","29707"
"PENDER","10830","19392","423","12","19","0","17634","37115","5743","121","5","5326","1290","21092","23406","3812","48310"
"PERQUIMANS","2918","3521","53","1","0","0","3648","7502","1954","19","2","664","59","4460","5133","548","10141"
"PERSON","9472","8146","124","4","12","0","9776","17925","6850","118","3","2638","511","11841","13845","1848","27534"
"PITT","48203","30518","783","27","47","0","41771","64572","40225","246","8","16298","3393","48966","61305","11078","121349"
"POLK","3599","6142","111","3","6","0","6562","14559","580","9","2","1273","293","7286","8615","522","16423"
"RANDOLPH","14937","49383","602","6","22","0","29698","77316","5967","308","6","11051","3826","41903","46810","5935","94648"
"RICHMOND","11889","7477","126","6","15","0","8765","16655","8782","411","0","2430","582","12376","14612","1290","28278"
"ROBESON","35031","13439","236","8","24","0","23208","20162","18805","24857","17","8105","2168","30873","38469","2604","71946"
"ROCKINGHAM","17511","24110","325","9","15","0","18849","42520","10933","102","0","7264","1210","27073","31760","1986","60819"
"ROWAN","22366","41239","622","15","46","0","31783","70034","15112","182","6","10737","3023","41446","47383","7242","96071"
"RUTHERFORD","9876","19859","258","6","19","0","16030","37449","3960","57","0","4582","891","19911","22896","3241","46048"
"SAMPSON","12654","15301","178","2","19","0","9572","21972","9940","531","0","5283","2817","16366","19429","1931","37726"
"SCOTLAND","9886","4549","73","4","7","0","6792","9558","8014","1679","9","2051","219","8745","11112","1454","21311"
"STANLY","8451","20908","212","19","47","0","14296","33949","4511","79","3","5391","698","18562","21063","4308","43933"
"STOKES","5217","16869","209","8","9","0","9823","27634","1176","51","1","3273","448","15293","16791","51","32135"
"SURRY","9234","22076","235","11","16","0","15675","40154","1677","46","2","5368","2071","20814","23367","3066","47247"
"SWAIN","2800","3054","66","2","1","0","3798","7402","93","1545","1","680","89","4405","4917","399","9721"
"TRANSYLVANIA","5680","8376","149","2","4","0","11728","23150","715","48","1","2025","249","11314","13099","1526","25939"
"TYRRELL","1002","452","8","0","0","0","802","1391","627","3","0","243","40","993","1086","185","2264"
"UNION","39690","69517","1162","33","51","0","64608","123166","19614","511","10","31760","8721","75254","83620","16187","175061"
"VANCE","16088","4933","105","6","11","0","6811","11205","13905","54","1","2789","721","11477","14708","1769","27954"
"WAKE","285771","175076","6332","213","346","0","342974","497191","145345","2074","55","166047","35065","341451","392235","77026","810712"
"WARREN","7760","2251","43","1","6","0","2975","5374","6182","527","2","951","121","5578","6751","707","13036"
"WASHINGTON","4556","1374","24","0","0","0","1933","3597","3726","9","0","555","63","3320","4154","413","7887"
"WATAUGA","11425","12379","399","43","6","0","20030","38576","843","63","11","4789","1261","19045","22148","3089","44282"
"WAYNE","26699","25202","434","12","18","0","21123","40802","23056","126","5","9499","2993","30833","37146","5509","73488"
"WILKES","6814","23972","207","6","11","0","12740","38280","1576","46","0","3848","945","19344","21390","3016","43750"
"WILSON","24813","13834","242","8","31","0","15912","26841","21818","108","0","6073","1837","22989","28780","3071","54840"
"YADKIN","2971","14122","133","2","10","0","7491","21560","726","26","1","2416","973","11090","12122","1517","24729"
"YANCEY","3740","5380","83","1","6","0","4987","12958","73","25","1","1140","149","6385","6985","827","14197"
