"CountyName","Democrats","Republicans","Libertarians","Green","NoLabels","Constitution","Unaffiliated","White","Black","AmericanIndian","NativeHawaiian","Other","Hispanic","Male","Female","UnDisclosedGender","Total"
"JONES","2515","2304","37","0","5","0","2275","4415","2056","12","1","652","102","3070","3538","528","7136"
"LEE","12478","11935","279","7","26","0","14502","25223","7286","142","6","6570","3362","16448","19675","3104","39227"
"LENOIR","16471","10396","150","10","42","0","10544","18735","14630","64","7","4177","835","15270","19135","3208","37613"
"LINCOLN","11755","31728","427","14","37","0","23104","56514","3602","87","2","6860","2091","29818","32382","4865","67065"
"MACON","4973","12349","191","2","3","0","10447","25624","196","62","1","2082","547","12927","14562","476","27965"
"MADISON","4982","4771","117","9","10","0","7021","15207","126","26","0","1551","189","7430","8030","1450","16910"
"MARTIN","7655","3468","51","2","2","0","4713","8519","6255","28","0","1089","186","6645","8437","809","15891"
"MCDOWELL","5632","12972","179","6","14","0","10911","26916","818","36","1","1943","608","13467","14935","1312","29714"
"MECKLENBURG","320978","153813","5911","204","297","0","294137","398194","236807","2033","59","138247","43845","325231","391282","58827","775340"
"MITCHELL","1041","6450","42","3","4","0","3594","10010","39","12","1","1072","143","4927","5425","782","11134"
"MONTGOMERY","5101","6221","86","2","6","0","5478","11838","2954","45","0","2057","777","7425","8399","1070","16894"
"MOORE","15018","30666","619","10","25","0","27813","59587","7384","343","6","6831","1722","32518","38239","3394","74151"
"NASH","28369","19315","307","7","47","0","19095","33882","26042","346","4","6866","1800","28285","34606","4249","67140"
"NEW HANOVER","50468","53477","1468","43","68","0","73381","137267","18989","381","15","22253","4051","74087","87377","17441","178905"
"NORTHAMPTON","7780","1567","40","3","7","0","3335","5059","6965","35","0","673","67","5522","6581","629","12732"
"ONSLOW","24281","47349","1805","25","114","0","50406","84482","18895","467","31","20105","7631","52978","61221","9781","123980"
"ORANGE","50416","13220","563","25","29","0","43908","74983","11465","233","1","21479","4227","44342","52727","11092","108161"
"PAMLICO","2827","4052","59","4","3","0","3192","7887","1440","26","0","784","112","4502","5067","568","10137"
"PASQUOTANK","10981","7543","217","7","13","0","10942","16723","9883","40","3","3054","423","12699","14963","2041","29703"
"PENDER","10809","19375","421","11","19","0","17599","37057","5727","121","5","5324","1291","21047","23379","3808","48234"
"PERQUIMANS","2924","3541","55","2","6","0","3665","7539","1962","19","2","671","61","4479","5160","554","10193"
"PERSON","9474","8148","125","4","14","0","9782","17927","6853","118","3","2646","512","11842","13855","1850","27547"
"PITT","48324","30603","780","27","78","0","41952","64800","40353","247","8","16356","3418","49145","61519","11100","121764"
"POLK","3599","6148","111","3","8","0","6574","14578","582","9","2","1272","294","7295","8628","520","16443"
"RANDOLPH","14925","49499","600","7","39","0","29847","77501","5990","310","6","11110","3880","42017","46946","5954","94917"
"RICHMOND","11878","7478","128","6","17","0","8775","16662","8778","411","0","2431","583","12379","14612","1291","28282"
"ROBESON","34989","13432","237","8","24","0","23195","20142","18778","24845","17","8103","2164","30846","38435","2604","71885"
"ROCKINGHAM","17537","24199","329","12","26","0","18957","42691","10981","102","0","7286","1232","27164","31883","2013","61060"
"ROWAN","22366","41284","622","16","62","0","31894","70124","15158","180","6","10776","3051","41522","47441","7281","96244"
"RUTHERFORD","9873","19861","257","6","19","0","16064","37467","3967","56","0","4590","899","19918","22920","3242","46080"
"SAMPSON","12652","15329","177","2","28","0","9599","22003","9955","531","0","5298","2832","16393","19460","1934","37787"
"SCOTLAND","9894","4577","72","4","13","0","6823","9591","8029","1688","9","2066","222","8781","11140","1462","21383"
"STANLY","8440","20932","211","19","52","0","14308","33962","4519","80","3","5398","706","18577","21072","4313","43962"
"STOKES","5212","16851","211","8","10","0","9810","27600","1177","51","1","3273","449","15276","16775","51","32102"
"SURRY","9220","22081","236","11","17","0","15685","40150","1679","46","2","5373","2074","20820","23360","3070","47250"
"SWAIN","2797","3067","66","3","1","0","3826","7433","95","1549","1","682","91","4425","4936","399","9760"
"TRANSYLVANIA","5698","8399","150","2","7","0","11788","23244","719","48","1","2032","250","11365","13153","1526","26044"
"TYRRELL","1001","451","8","0","0","0","802","1390","627","3","0","242","40","993","1085","184","2262"
"UNION","39720","69555","1162","35","67","0","64688","123166","19632","513","10","31906","8738","75271","83667","16289","175227"
"VANCE","16099","4958","104","7","17","0","6854","11243","13928","56","1","2811","729","11516","14746","1777","28039"
"WAKE","285943","175283","6334","224","464","0","344199","498136","145620","2080","55","166556","35262","342234","393111","77102","812447"
"WARREN","7747","2246","42","1","7","0","2976","5371","6172","527","2","947","121","5576","6736","707","13019"
"WASHINGTON","4544","1381","24","0","1","0","1931","3600","3718","9","0","554","63","3312","4154","415","7881"
"WATAUGA","11407","12389","400","44","7","0","20061","38611","844","63","11","4779","1261","19076","22152","3080","44308"
"WAYNE","26748","25371","443","14","79","0","21389","41103","23198","130","5","9608","3098","31082","37431","5531","74044"
"WILKES","6803","23965","209","5","11","0","12754","38276","1576","45","0","3850","947","19332","21396","3019","43747"
"WILSON","24795","13815","243","9","40","0","15943","26836","21816","108","0","6085","1848","22990","28782","3073","54845"
"YADKIN","2966","14124","134","2","11","0","7495","21563","724","26","1","2418","975","11092","12122","1518","24732"
"YANCEY","3731","5376","83","1","8","0","4987","12945","73","25","1","1142","149","6380","6977","829","14186"
